MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,PoolArea,SaleCondition,SalePrice
80,RL,9600,Inside,1Fam,6,1955,1972,AsbShng,132.0,1156.0,0,1,3,1,2,364.0,0,Normal,153000.0
60,RL,11606,Inside,1Fam,5,1969,1969,Plywood,0.0,1040.0,1040,1,5,1,2,504.0,0,Family,135000.0
80,RL,9020,Corner,1Fam,5,1964,1964,Plywood,336.0,1248.0,0,1,3,1,0,520.0,0,Normal,168500.0
70,RM,9000,Corner,1Fam,6,1880,1991,VinylSd,0.0,636.0,661,1,3,1,0,240.0,0,Abnorml,124000.0
120,RL,4590,Inside,Twnhs,5,2006,2006,VinylSd,0.0,1554.0,0,2,2,1,1,627.0,0,Normal,209500.0
20,RL,11900,Inside,1Fam,5,1977,1977,Plywood,0.0,1386.0,0,2,3,1,1,544.0,0,Family,82500.0
20,RL,9250,Corner,1Fam,7,1954,2005,Wd Sdng,468.0,1056.0,0,1,3,1,0,260.0,0,Normal,139400.0
90,RL,6979,Inside,Duplex,5,1980,1980,Plywood,0.0,1056.0,0,0,0,2,0,576.0,0,Normal,144000.0
190,RH,10896,Inside,2fmCon,7,1914,1995,VinylSd,0.0,1440.0,1440,2,8,2,0,0.0,0,Abnorml,200000.0
30,RM,6120,Inside,1Fam,3,1936,1950,AsbShng,0.0,264.0,0,1,1,1,1,0.0,0,Normal,60000.0
190,RM,6000,Inside,2fmCon,4,1954,1954,Wd Sdng,0.0,811.0,576,2,3,2,0,256.0,0,Normal,93000.0
30,RL,8777,Inside,1Fam,7,1910,1950,MetalSd,0.0,796.0,0,1,2,1,0,0.0,0,Normal,85000.0
120,RL,3982,Inside,TwnhsE,5,2006,2006,VinylSd,0.0,1520.0,0,2,1,1,1,648.0,0,Partial,264561.0
120,RL,12677,Inside,TwnhsE,5,2003,2004,MetalSd,0.0,1518.0,0,1,1,1,1,588.0,0,Normal,274000.0
60,FV,7050,Inside,1Fam,5,2001,2001,VinylSd,0.0,1057.0,872,2,3,1,1,650.0,0,Normal,226000.0
80,RL,13860,Inside,1Fam,7,1972,1995,Plywood,0.0,1952.0,704,2,4,1,3,538.0,0,Normal,345000.0
60,RL,10793,Inside,1Fam,5,1969,1969,WdShing,287.0,780.0,840,2,4,1,0,462.0,0,Normal,152000.0
20,FV,9187,Inside,1Fam,5,2009,2009,CemntBd,0.0,1766.0,0,2,2,1,1,478.0,0,Partial,370878.0
20,RL,10530,Corner,1Fam,5,1971,1971,Plywood,35.0,981.0,0,1,3,1,0,576.0,0,Normal,143250.0
20,RL,7200,Inside,1Fam,5,1950,1950,MetalSd,0.0,0.0,0,1,3,1,0,420.0,0,Normal,98300.0
20,RL,10452,Inside,1Fam,5,1953,1953,Wd Sdng,0.0,1094.0,0,1,3,1,2,495.0,0,Normal,155000.0
60,RL,7700,Inside,1Fam,5,1966,1966,MetalSd,0.0,756.0,788,1,4,1,1,442.0,0,Normal,155000.0
180,RM,1936,Inside,Twnhs,6,1970,1970,CemntBd,499.0,630.0,0,1,1,1,0,0.0,0,Normal,84500.0
60,FV,8125,Inside,1Fam,6,2007,2007,CemntBd,0.0,813.0,843,2,3,1,0,562.0,0,Normal,205950.0
70,RL,9084,Inside,1Fam,5,1940,1950,MetalSd,0.0,755.0,755,1,4,1,1,296.0,0,Normal,108000.0
60,RL,8750,Inside,1Fam,5,1996,1996,VinylSd,0.0,880.0,807,2,2,1,1,512.0,0,Normal,191000.0
50,RM,10320,Inside,1Fam,7,1906,1995,MetalSd,0.0,756.0,713,1,3,1,0,216.0,0,Normal,135000.0
20,RL,10437,Inside,1Fam,6,1995,1995,MetalSd,0.0,2109.0,0,2,2,1,1,839.0,0,Normal,350000.0
160,RM,1680,Inside,Twnhs,5,1971,1971,HdBoard,0.0,525.0,567,1,3,1,0,264.0,0,Family,88000.0
20,RL,10007,Inside,1Fam,7,1959,2006,HdBoard,0.0,1053.0,0,1,3,1,0,312.0,0,Normal,145500.0
70,RL,7200,Inside,1Fam,6,1931,2000,Stucco,0.0,776.0,651,1,3,1,1,270.0,0,Normal,149000.0
50,RL,17503,Inside,1Fam,5,1948,1950,VinylSd,0.0,912.0,546,1,3,1,1,330.0,0,Abnorml,97500.0
20,RL,9937,Corner,1Fam,7,1964,1999,MetalSd,0.0,1486.0,0,1,3,1,0,480.0,0,Normal,167000.0
60,RL,12384,CulDSac,1Fam,7,1976,1976,Plywood,0.0,793.0,793,2,3,1,1,550.0,0,Normal,197900.0
60,RL,46589,CulDSac,1Fam,7,1994,2005,VinylSd,180.0,1629.0,762,2,4,1,1,711.0,0,Normal,402000.0
20,RL,13560,Corner,1Fam,3,1968,1968,Wd Sdng,0.0,1392.0,0,1,2,1,2,576.0,0,Normal,110000.0
85,RL,10012,Inside,1Fam,5,1972,1972,Plywood,180.0,1138.0,0,2,3,1,0,588.0,0,Normal,137500.0
20,RL,20896,CulDSac,1Fam,5,2005,2006,VinylSd,0.0,2077.0,0,1,1,1,1,1134.0,0,Partial,423000.0
60,RL,11194,Corner,1Fam,5,2000,2000,VinylSd,0.0,1406.0,482,2,3,1,1,504.0,0,Normal,230500.0
60,RL,18450,Inside,1Fam,5,1965,1979,Plywood,723.0,1021.0,915,2,3,1,1,596.0,0,Abnorml,129000.0
20,RL,8125,Inside,1Fam,5,1994,1998,HdBoard,0.0,1408.0,0,2,3,1,1,575.0,0,Normal,193500.0
20,RL,14175,Corner,1Fam,6,1956,1987,CemntBd,0.0,1188.0,0,1,3,1,1,576.0,0,Normal,168000.0
30,RL,11600,Inside,1Fam,5,1922,1950,MetalSd,0.0,700.0,0,1,2,1,1,252.0,0,Normal,137500.0
60,RL,8633,FR2,1Fam,5,2005,2005,VinylSd,0.0,738.0,738,2,3,1,0,540.0,0,Normal,173500.0
70,RH,6629,Inside,1Fam,6,1925,1950,Wd Sdng,0.0,672.0,672,2,3,1,0,300.0,0,Normal,103600.0
20,RL,11250,Inside,1Fam,6,1977,1977,Plywood,0.0,1208.0,0,1,3,1,1,546.0,0,Normal,165000.0
20,RL,14442,Inside,1Fam,7,1957,2004,CemntBd,0.0,1477.0,0,2,3,1,2,416.0,0,Normal,257500.0
20,RL,9200,Inside,1Fam,6,1965,1965,HdBoard,0.0,1136.0,0,1,3,1,1,384.0,0,Normal,140000.0
160,RL,2289,Inside,Twnhs,6,1978,1978,Plywood,0.0,855.0,586,2,3,1,1,440.0,0,Normal,148500.0
70,RM,9600,Inside,1Fam,2,1900,1950,AsbShng,0.0,1095.0,679,2,4,2,0,779.0,0,Normal,87000.0
30,RL,9022,Inside,1Fam,8,1924,2006,VinylSd,0.0,768.0,0,1,2,1,0,240.0,0,Normal,109500.0
20,RL,11844,Inside,1Fam,5,2008,2008,VinylSd,0.0,2046.0,0,2,3,1,1,834.0,0,Partial,372500.0
20,RL,9945,Inside,1Fam,5,1961,1961,Wd Sdng,0.0,988.0,0,1,3,1,0,572.0,0,Normal,128500.0
120,RL,8012,Inside,TwnhsE,5,1980,1980,Plywood,119.0,923.0,0,2,2,1,1,264.0,0,Normal,143000.0
50,RH,4500,Inside,1Fam,5,1932,2000,VinylSd,0.0,793.0,672,1,3,1,0,281.0,0,Abnorml,159434.0
120,RL,2887,Inside,1Fam,5,1996,1997,Wd Sdng,0.0,1291.0,0,1,2,1,1,431.0,0,Normal,173000.0
20,RL,11248,Corner,1Fam,5,2002,2002,VinylSd,0.0,1626.0,0,2,3,1,1,702.0,0,Normal,285000.0
60,RL,16770,CulDSac,1Fam,5,1998,1998,VinylSd,0.0,1195.0,644,2,4,1,0,486.0,0,Normal,221000.0
160,RL,5062,CulDSac,TwnhsE,5,1984,1984,HdBoard,182.0,1190.0,900,2,3,1,1,577.0,0,Normal,207500.0
60,FV,10207,Inside,1Fam,6,2007,2007,VinylSd,0.0,874.0,887,3,3,1,0,578.0,0,Partial,227875.0
160,FV,5105,FR2,TwnhsE,5,2004,2004,MetalSd,0.0,551.0,551,2,2,1,0,480.0,0,Normal,148800.0
20,RL,8089,Inside,1Fam,6,2007,2007,MetalSd,0.0,1419.0,0,2,2,1,1,567.0,0,Partial,392000.0
120,RL,7577,Corner,TwnhsE,5,2005,2006,VinylSd,0.0,1362.0,0,2,2,1,1,460.0,0,Normal,194700.0
120,RM,4426,Inside,TwnhsE,5,2004,2004,VinylSd,0.0,848.0,0,1,1,1,1,420.0,0,Normal,141000.0
60,RL,21535,Corner,1Fam,6,1994,1995,HdBoard,0.0,2444.0,1872,3,4,1,2,832.0,0,Normal,755000.0
60,RL,26178,Inside,1Fam,5,1989,1990,MetalSd,0.0,1210.0,1281,2,4,1,2,628.0,0,Normal,335000.0
30,RL,5400,Corner,1Fam,6,1921,1968,MetalSd,0.0,1073.0,0,1,2,1,0,326.0,0,Abnorml,108480.0
50,RM,6120,Corner,1Fam,6,1936,1950,Wd Sdng,0.0,927.0,472,1,3,1,0,576.0,0,Normal,141500.0
20,RL,13811,Inside,1Fam,6,1987,1987,HdBoard,40.0,1112.0,0,2,2,1,1,551.0,0,Normal,176000.0
30,RM,6000,Inside,1Fam,7,1921,1950,Wd Sdng,0.0,616.0,0,1,2,1,0,205.0,0,Normal,89000.0
20,RL,6420,Inside,1Fam,7,1952,1952,Wd Sdng,551.0,980.0,0,1,2,1,0,308.0,0,Normal,123500.0
20,RL,8450,Inside,1Fam,8,1965,2009,MetalSd,117.0,894.0,0,1,3,1,1,336.0,0,Normal,138500.0
120,FV,4282,Inside,TwnhsE,5,2004,2004,MetalSd,0.0,1391.0,0,2,2,1,0,530.0,0,Normal,196000.0
20,RL,14331,Inside,1Fam,5,2002,2002,VinylSd,0.0,1800.0,0,2,3,1,1,765.0,0,Normal,312500.0
20,RL,9600,Inside,1Fam,5,1969,1969,HdBoard,0.0,1164.0,0,1,3,1,0,528.0,0,Normal,140000.0
60,RL,12438,Inside,1Fam,5,2006,2006,VinylSd,0.0,1234.0,1312,2,4,1,1,666.0,0,Partial,361919.0
190,RM,7630,Inside,2fmCon,9,1900,1996,Wd Sdng,0.0,360.0,780,2,4,2,1,672.0,0,Normal,140000.0
20,RL,8400,Inside,1Fam,5,2004,2005,VinylSd,0.0,1473.0,0,2,3,1,0,606.0,0,Normal,213000.0
190,RM,5600,Inside,2fmCon,5,1930,1950,VinylSd,0.0,0.0,720,2,3,2,0,0.0,0,Normal,55000.0
20,RL,115149,CulDSac,1Fam,5,1971,2002,Plywood,0.0,1643.0,0,2,2,1,2,739.0,0,Normal,302000.0
120,RL,6240,Inside,TwnhsE,5,2006,2006,MetalSd,0.0,1324.0,0,2,2,1,1,550.0,0,Normal,254000.0
60,RL,9018,Inside,1Fam,5,2007,2007,VinylSd,0.0,728.0,728,2,3,1,1,400.0,0,Partial,179540.0
20,RL,7162,Inside,1Fam,7,1966,1966,HdBoard,0.0,876.0,0,1,3,1,0,408.0,0,Abnorml,109900.0
30,RL,4130,Inside,1Fam,6,1935,2003,VinylSd,0.0,270.0,0,1,2,1,0,0.0,0,Normal,52000.0
50,C (all),8712,Inside,1Fam,7,1900,1950,MetalSd,0.0,859.0,319,1,2,1,0,384.0,0,Abnorml,102776.0
120,RL,4671,Inside,TwnhsE,5,1988,1989,HdBoard,0.0,1228.0,0,2,2,1,1,472.0,0,Normal,189000.0
190,RL,9873,Inside,2fmCon,5,1970,1970,HdBoard,0.0,960.0,0,1,3,1,0,576.0,0,Normal,129000.0
60,RL,13517,CulDSac,1Fam,8,1976,2005,HdBoard,0.0,725.0,754,2,3,1,0,475.0,0,Normal,130500.0
20,RL,10140,Inside,1Fam,5,1974,1974,HdBoard,0.0,1064.0,0,2,3,1,1,478.0,0,Normal,165000.0
70,RM,10800,Inside,1Fam,8,1890,1998,Wd Sdng,0.0,718.0,978,1,3,1,0,704.0,0,Normal,159500.0
20,RL,10000,Inside,1Fam,6,1973,2000,HdBoard,0.0,1176.0,0,1,3,1,1,439.0,0,Normal,157000.0
60,RL,10542,Inside,1Fam,5,1993,1994,Wd Sdng,0.0,1311.0,1093,2,3,1,1,983.0,0,Normal,341000.0
20,RL,9920,Inside,1Fam,6,1969,1969,HdBoard,0.0,971.0,0,1,3,1,1,300.0,0,Normal,128500.0
120,RL,6563,CulDSac,1Fam,5,1985,1985,HdBoard,0.0,1742.0,0,2,2,1,1,564.0,0,Normal,275000.0
120,RM,4426,Inside,TwnhsE,5,2004,2004,VinylSd,0.0,848.0,0,1,1,1,0,420.0,0,Normal,143000.0
20,RL,8120,Inside,1Fam,7,1970,1970,MetalSd,0.0,864.0,0,1,3,1,0,463.0,0,Normal,124500.0
50,RL,8172,Inside,1Fam,6,1954,1972,MetalSd,0.0,941.0,473,2,4,1,0,548.0,0,Normal,135000.0
20,RL,13286,Inside,1Fam,5,2007,2008,CemntBd,0.0,1698.0,0,2,3,1,1,768.0,0,Normal,320000.0
20,RL,6960,Inside,1Fam,6,1970,1970,HdBoard,239.0,864.0,0,1,3,1,0,660.0,0,Normal,120500.0
20,RL,21695,Corner,1Fam,9,1988,2007,Wd Sdng,0.0,880.0,0,2,3,1,1,540.0,0,Normal,222000.0
20,RL,7314,Inside,1Fam,5,2007,2007,VinylSd,0.0,1232.0,0,2,2,1,0,632.0,0,Normal,194500.0
90,RL,11475,Corner,Duplex,5,1958,1958,VinylSd,0.0,1584.0,0,2,4,2,0,888.0,0,Abnorml,110000.0
30,RM,6240,Inside,1Fam,5,1925,1950,MetalSd,0.0,780.0,0,1,2,1,0,539.0,0,Normal,103000.0
120,RL,5389,Inside,TwnhsE,5,1995,1996,CemntBd,0.0,1595.0,0,2,2,1,1,608.0,0,Normal,236500.0
80,RL,9590,Corner,1Fam,5,2003,2003,VinylSd,0.0,868.0,0,2,3,1,1,438.0,0,Normal,187500.0
60,RL,11404,Inside,1Fam,5,1998,1999,VinylSd,0.0,1153.0,878,2,3,1,1,541.0,0,Normal,222500.0
20,RL,10000,Corner,1Fam,6,1961,1983,HdBoard,0.0,864.0,0,1,3,1,1,264.0,0,Normal,131400.0
20,RL,8978,Corner,1Fam,5,1968,1968,Plywood,0.0,948.0,0,1,3,1,0,300.0,0,Family,108000.0
75,RM,10800,Inside,1Fam,7,1914,1970,Wd Sdng,0.0,880.0,888,1,2,1,2,320.0,0,Normal,163000.0
90,RL,8544,Inside,Duplex,4,1950,1950,Stucco,0.0,0.0,0,2,2,2,0,400.0,0,Normal,93500.0
60,RL,10463,CulDSac,1Fam,5,2005,2005,VinylSd,0.0,893.0,900,2,3,1,1,800.0,0,Normal,239900.0
90,RL,10800,Inside,Duplex,5,1987,1988,Plywood,0.0,1200.0,0,3,3,1,0,0.0,0,Alloca,179000.0
60,RL,9313,Inside,1Fam,5,2004,2004,VinylSd,0.0,864.0,864,2,3,1,0,572.0,0,Normal,190000.0
70,RM,9600,Inside,1Fam,7,1910,2002,Wd Sdng,0.0,264.0,664,2,2,1,0,360.0,0,Abnorml,132000.0
20,RL,6768,Inside,1Fam,8,1961,1996,HdBoard,0.0,912.0,0,1,3,1,0,288.0,0,Normal,142000.0
20,RL,8450,Inside,1Fam,5,2000,2001,VinylSd,0.0,1349.0,0,2,3,1,0,539.0,0,Normal,179000.0
80,RL,12886,Inside,1Fam,6,1963,1999,HdBoard,0.0,520.0,0,2,3,1,1,480.0,0,Normal,175000.0
120,RL,5395,Inside,TwnhsE,5,1993,1993,HdBoard,0.0,1337.0,0,2,2,1,1,462.0,0,Normal,180000.0
60,RL,8963,Inside,1Fam,9,1976,1996,VinylSd,80.0,1142.0,1540,3,4,1,2,831.0,0,Normal,299800.0
60,RL,8795,Inside,1Fam,5,2000,2000,VinylSd,0.0,952.0,1276,2,4,1,1,554.0,0,Normal,236000.0
70,RM,11700,Corner,1Fam,7,1880,2003,Stucco,0.0,1240.0,1320,1,4,1,1,864.0,0,Normal,265979.0
20,RL,10593,Inside,1Fam,5,1996,1996,VinylSd,0.0,1720.0,0,2,3,1,1,527.0,0,Normal,260400.0
50,RL,8405,Inside,1Fam,3,1945,1950,WdShing,0.0,0.0,441,2,4,1,0,240.0,0,Normal,98000.0
50,RM,8800,Corner,1Fam,7,1910,2004,Wd Sdng,0.0,576.0,348,1,3,1,0,0.0,0,Normal,96500.0
60,RL,7750,Inside,1Fam,5,2003,2003,VinylSd,0.0,660.0,660,2,3,1,0,400.0,0,Normal,162000.0
20,RL,9236,Inside,1Fam,5,1997,1997,VinylSd,0.0,1479.0,0,2,3,1,0,576.0,0,Normal,217000.0
60,RL,10240,Inside,1Fam,5,2005,2005,VinylSd,0.0,1030.0,1060,2,3,1,1,878.0,0,Normal,275500.0
20,RL,7930,Inside,1Fam,8,1969,2005,Plywood,472.0,1026.0,0,1,3,1,0,440.0,0,Normal,156000.0
160,FV,3230,Inside,TwnhsE,5,1999,1999,MetalSd,0.0,729.0,729,2,3,1,0,440.0,0,Normal,172500.0
60,RL,10769,Inside,1Fam,5,2007,2007,VinylSd,0.0,866.0,902,2,3,1,0,578.0,0,Normal,212000.0
60,RL,11616,CulDSac,1Fam,5,1978,1978,HdBoard,0.0,672.0,714,2,3,1,1,440.0,0,Abnorml,158900.0
160,FV,2280,Inside,Twnhs,5,1999,1999,MetalSd,0.0,744.0,744,2,3,1,0,440.0,0,Normal,179400.0
60,RL,12257,Inside,1Fam,5,1995,1995,VinylSd,64.0,1318.0,1203,2,4,1,1,752.0,0,Normal,290000.0
20,RL,9100,Inside,1Fam,6,1959,1959,Wd Sdng,0.0,864.0,0,1,2,1,0,300.0,0,Normal,127500.0
30,RM,6911,FR2,1Fam,5,1924,1950,Wd Sdng,0.0,1145.0,0,1,2,1,0,440.0,0,Normal,100000.0
60,FV,8640,Inside,1Fam,5,2009,2009,VinylSd,0.0,756.0,783,2,3,1,0,614.0,0,Normal,215200.0
60,RL,9430,Inside,1Fam,5,1999,1999,VinylSd,0.0,1252.0,1097,2,3,1,1,856.0,0,Normal,337000.0
120,RL,9549,CulDSac,TwnhsE,5,1995,1996,BrkFace,1057.0,1494.0,0,1,2,1,1,481.0,0,Normal,270000.0
20,RL,14587,Inside,1Fam,5,2008,2008,VinylSd,0.0,1498.0,0,2,2,1,1,592.0,0,Partial,264132.0
60,RL,10421,Inside,1Fam,5,1988,1988,HdBoard,0.0,980.0,734,2,3,1,1,496.0,0,Normal,196500.0
50,RL,12508,Inside,1Fam,7,1940,1985,VinylSd,0.0,983.0,767,2,4,1,0,423.0,0,Normal,160000.0
20,RL,9100,Inside,1Fam,5,2004,2005,VinylSd,0.0,1860.0,0,2,3,1,1,484.0,0,Normal,216837.0
60,RL,53504,CulDSac,1Fam,5,2003,2003,CemntBd,0.0,1650.0,1589,3,4,1,1,841.0,0,Normal,538000.0
85,RL,7252,CulDSac,1Fam,5,1982,1982,Wd Sdng,0.0,858.0,0,1,2,1,0,576.0,0,Normal,134900.0
20,RL,8877,Inside,1Fam,5,1951,1951,Wd Sdng,0.0,836.0,0,1,2,1,0,396.0,0,Normal,102000.0
80,RL,7819,Inside,1Fam,5,1976,1976,Plywood,127.0,1029.0,0,1,3,1,1,672.0,0,Abnorml,107000.0
20,RL,10150,Inside,1Fam,5,1958,1958,Wd Sdng,0.0,912.0,0,1,2,1,0,275.0,0,Normal,114500.0
20,RL,14226,Corner,1Fam,5,2006,2006,VinylSd,0.0,1935.0,0,2,3,1,1,895.0,0,Partial,395000.0
120,RM,4500,FR2,TwnhsE,5,1998,1998,VinylSd,0.0,1204.0,0,2,2,1,0,412.0,0,Normal,162000.0
20,RL,11210,Inside,1Fam,5,2005,2006,VinylSd,0.0,1614.0,0,2,3,1,0,865.0,0,Partial,221500.0
20,RL,13350,Inside,1Fam,5,1974,1974,HdBoard,0.0,864.0,0,1,3,1,1,440.0,0,Normal,142500.0
90,RH,8400,Inside,Duplex,5,1977,1977,Plywood,0.0,0.0,0,2,4,2,2,630.0,0,Normal,144000.0
90,RL,10530,Inside,Duplex,5,1977,1977,Plywood,0.0,975.0,0,1,2,1,0,504.0,0,Normal,135000.0
20,RL,7875,Inside,1Fam,5,1995,1996,HdBoard,0.0,1237.0,0,2,3,1,1,402.0,0,Normal,176000.0
60,RL,7153,Inside,1Fam,5,1992,1992,VinylSd,0.0,761.0,793,2,3,1,0,484.0,0,Normal,175900.0
20,RL,16285,Inside,1Fam,5,2001,2002,VinylSd,0.0,1413.0,0,2,3,1,0,605.0,0,Normal,187100.0
85,RL,9101,Corner,1Fam,6,1978,1978,Plywood,0.0,1097.0,0,1,1,1,1,602.0,0,Normal,165500.0
75,RM,6300,Inside,1Fam,6,1914,2001,Wd Sdng,0.0,742.0,742,2,3,1,1,0.0,0,Normal,128000.0
20,RL,9790,Inside,1Fam,5,1967,1967,BrkFace,630.0,1372.0,0,2,3,1,1,457.0,0,Normal,161500.0
50,RM,10800,Inside,1Fam,6,1915,1950,MetalSd,0.0,686.0,686,2,4,1,0,416.0,0,Normal,139000.0
60,RL,10142,Inside,1Fam,5,2004,2004,VinylSd,0.0,956.0,1128,2,4,1,0,618.0,0,Normal,233000.0
20,RM,6000,Corner,1Fam,7,1954,2000,MetalSd,0.0,901.0,0,1,2,1,0,281.0,0,Normal,107900.0
60,RL,12205,Inside,1Fam,8,1966,2007,HdBoard,0.0,832.0,1111,2,5,1,0,444.0,0,Normal,187500.0
120,RL,3182,Inside,TwnhsE,5,2005,2006,VinylSd,0.0,1145.0,0,2,2,1,1,397.0,0,Normal,160200.0
80,RL,11333,Corner,1Fam,5,1976,1976,HdBoard,0.0,1029.0,0,1,3,1,2,539.0,0,Normal,146800.0
60,RL,9920,CulDSac,1Fam,5,1996,1997,MetalSd,0.0,1117.0,886,2,3,1,1,455.0,0,Normal,269790.0
20,RL,9158,Inside,1Fam,5,2007,2007,CemntBd,0.0,1496.0,0,2,3,1,0,474.0,0,Partial,225000.0
60,RL,10832,Corner,1Fam,5,1994,1996,MetalSd,0.0,712.0,809,2,3,1,1,409.0,0,Normal,194500.0
60,RL,8400,Inside,1Fam,6,1980,1981,HdBoard,0.0,650.0,676,2,3,1,1,476.0,0,Normal,171000.0
20,RL,8197,Inside,1Fam,5,1977,1977,Plywood,0.0,660.0,0,1,3,1,1,528.0,0,Normal,143500.0
20,RL,7677,Inside,1Fam,5,1953,1953,VinylSd,0.0,773.0,0,1,2,1,0,240.0,0,Abnorml,110000.0
60,RL,13518,Inside,1Fam,5,2008,2009,VinylSd,0.0,1926.0,1174,3,4,1,2,820.0,0,Partial,485000.0
50,RL,7200,Corner,1Fam,7,1937,1950,Wd Sdng,0.0,731.0,787,1,3,1,2,240.0,0,Normal,175000.0
60,RL,12798,Inside,1Fam,5,1997,1997,VinylSd,0.0,616.0,1072,2,4,1,0,603.0,0,Normal,200000.0
30,RM,4800,Inside,1Fam,7,1916,1990,MetalSd,0.0,1196.0,0,1,2,1,0,440.0,0,Normal,109900.0
60,RL,8199,Inside,1Fam,5,2005,2005,WdShing,0.0,728.0,728,2,3,1,1,410.0,0,Normal,189000.0
60,RL,13891,Inside,1Fam,5,2008,2009,VinylSd,0.0,1734.0,1088,3,4,1,1,1020.0,0,Partial,582933.0
20,RL,9000,Inside,1Fam,5,1954,1954,Wd Sdng,0.0,936.0,0,1,2,1,0,286.0,0,Family,118000.0
20,RL,12274,FR2,1Fam,5,2008,2008,VinylSd,0.0,1417.0,0,2,3,1,0,554.0,0,Partial,227680.0
80,RL,9750,Inside,1Fam,5,1967,1967,VinylSd,480.0,980.0,0,2,3,1,0,384.0,0,Normal,135500.0
70,RL,21384,Inside,1Fam,6,1923,2004,Wd Sdng,0.0,1324.0,504,1,3,1,1,528.0,0,Normal,223500.0
80,RL,13400,Inside,1Fam,5,1966,1966,VinylSd,128.0,1024.0,0,1,3,1,1,484.0,0,Normal,159950.0
75,RM,8100,Corner,1Fam,5,1898,1965,AsbShng,0.0,849.0,1063,2,2,3,0,360.0,0,Normal,106000.0
20,RL,10140,Inside,1Fam,6,1974,1999,HdBoard,377.0,1040.0,0,1,3,1,1,484.0,648,Normal,181000.0
120,RM,4438,Inside,TwnhsE,5,2004,2004,VinylSd,0.0,848.0,0,1,1,1,1,420.0,0,Normal,144500.0
20,C (all),8712,Inside,1Fam,5,1952,1952,Wd Sdng,0.0,540.0,0,1,2,1,0,504.0,0,Alloca,55993.0
20,RL,9750,Inside,1Fam,6,1958,1958,MetalSd,0.0,1442.0,0,1,4,1,0,301.0,0,Normal,157900.0
50,RL,8248,Inside,1Fam,7,1918,1950,Stucco,0.0,686.0,564,1,3,1,0,280.0,0,Normal,116000.0
20,RL,12137,CulDSac,1Fam,5,1998,1998,VinylSd,0.0,1649.0,0,2,3,1,0,598.0,0,Normal,224900.0
20,RL,11425,Corner,1Fam,6,1954,1954,BrkFace,0.0,1008.0,0,1,2,1,1,275.0,0,Normal,137000.0
20,RL,13265,CulDSac,1Fam,5,2002,2002,CemntBd,0.0,1568.0,0,2,3,1,2,857.0,0,Normal,271000.0
80,RL,8816,Inside,1Fam,7,1971,1971,HdBoard,0.0,1010.0,0,1,3,1,0,440.0,0,Normal,155000.0
120,RL,6371,Inside,TwnhsE,5,2009,2010,VinylSd,0.0,1358.0,0,2,2,1,1,484.0,0,Partial,224000.0
60,RL,7226,CulDSac,1Fam,5,2003,2003,VinylSd,0.0,798.0,842,2,3,1,0,595.0,0,Normal,183000.0
20,RM,6000,Inside,2fmCon,4,1953,1953,MetalSd,0.0,936.0,0,1,2,1,0,576.0,0,Normal,93000.0
60,RL,12394,Corner,1Fam,5,2003,2003,VinylSd,0.0,847.0,886,2,3,1,1,433.0,0,Family,225000.0
50,RL,9900,Inside,1Fam,7,1940,1950,VinylSd,0.0,778.0,545,2,3,1,1,240.0,0,Normal,139500.0
20,FV,11216,Inside,1Fam,5,2006,2006,VinylSd,0.0,1489.0,0,2,3,1,1,776.0,0,Partial,232600.0
20,RL,14803,Inside,1Fam,5,2007,2008,CemntBd,0.0,2078.0,0,2,2,1,1,1220.0,0,Partial,385000.0
45,RM,6130,Inside,1Fam,6,1924,1950,MetalSd,0.0,784.0,0,1,2,1,0,0.0,0,Normal,109500.0
20,RL,8529,Inside,1Fam,5,2001,2001,VinylSd,0.0,1454.0,0,2,3,1,1,527.0,0,Normal,189000.0
60,RL,28698,CulDSac,1Fam,5,1967,1967,Plywood,764.0,1013.0,966,2,3,1,0,538.0,0,Abnorml,185000.0
160,FV,2544,Inside,Twnhs,5,2005,2005,MetalSd,0.0,600.0,623,2,2,1,0,480.0,0,Normal,147400.0
20,RL,11900,Corner,1Fam,5,1957,1957,HdBoard,0.0,1392.0,0,1,3,1,2,458.0,0,Normal,166000.0
160,FV,3180,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,600.0,600,2,2,1,0,480.0,0,Normal,151000.0
60,RL,9548,CulDSac,1Fam,6,2003,2003,VinylSd,0.0,941.0,888,2,3,1,1,613.0,0,Normal,237000.0
20,RL,10004,Inside,1Fam,6,1964,1964,HdBoard,345.0,1516.0,0,1,3,1,0,472.0,0,Normal,167000.0
20,RL,7875,Inside,1Fam,6,1961,1961,VinylSd,0.0,1144.0,0,1,3,1,0,456.0,0,Normal,139950.0
20,RL,9600,Inside,1Fam,7,1950,1995,VinylSd,0.0,1067.0,0,2,2,1,0,436.0,0,Normal,128000.0
30,RM,8100,Inside,1Fam,6,1948,1973,VinylSd,0.0,1559.0,0,1,2,1,0,812.0,0,Normal,153500.0
160,RM,1680,Inside,Twnhs,5,1973,1973,HdBoard,0.0,483.0,504,1,2,1,0,264.0,0,Normal,100000.0
20,RL,9525,Inside,1Fam,6,1995,2006,VinylSd,0.0,1099.0,0,1,3,1,0,352.0,0,Normal,144000.0
